Upozila,lat,long,May08
Anwara,22.233805,91.863555,1
Banshkhali,22.02469,91.941237,2
Boalkhali,22.379928,91.916695,2
Chandanaish,22.247846,92.010365,2
Fatikchhari,22.762136,91.732464,1
Hathazari,22.506967,91.799505,3
Lohagara,22.041552,92.100589,6
Mirsharai,22.779082,91.573795,3
Patiya,22.292512,91.978354,4
Rangunia,22.471311,92.044814,1
Raozan,22.471311,92.044814,
Sandwip,22.493807,91.484385,1
Satkania,22.101149,92.081561,27
Sitakunda,22.615769,91.683045,11
Karnaphuli,22.318967,91.86168,
Agrabad,22.327473,91.812295,3
Akbarshah,22.363449,91.790865,2
Bayezid,22.389519,91.816727,1
Baluchora,22.399893,91.805988,1
Boro kumira,22.510012,91.709331,1
Bahaddarhat ,22.36883,91.844125,4
Bakolia,22.35308,91.856323,4
CDA Abashik,22.357859,91.82508,1
CMCH,22.359408,91.829278,3
CMH,22.359291,91.830783,2
Chittagong field hospital   ,22.401838,91.756879,2
Coast guard,22.247462,91.82115,3
Cosmopolitan ,22.369666,91.820972,1
Chandgaon,22.377631,91.847452,1
Dampara,22.353626,91.820411,24
Dewanhut,22.340254,91.81462,1
Epz,22.28997,91.776865,4
Enayet bazar,22.340974,91.829538,4
Eidgah,22.344851,91.796542,2
Firingibazar ,22.329011,91.832832,2
Foujdarhat,22.410249,91.755634,4
Gosaildanga,22.320651,91.810459,1
Halishahar ,22.322502,91.781093,13
Ice factory ,22.332743,91.829533,1
Jamalkhan,22.34598,91.834293,1
Kalushah nagar,22.389598,91.758225,1
Kotowali,22.334223,91.832302,1
Kathgor,22.25955,91.79204,1
Karnelhut,22.368941,91.777788,1
Kodomtoli,22.335829,91.821204,1
Lalkhanbazar,22.347404,91.81924,1
Max hospital ,22.355345,91.825094,1
Maa-o-shishu hospital ,22.322921,91.806745,1
Madarbari ,22.331239,91.823521,1
Mogoltuli,22.328344,91.819113,1
Mehedibagh,22.357629,91.825205,1
Mirzapul,22.366018,91.833891,1
North kattoli,22.362656,91.770382,2
Nasirabad,22.367439,91.828147,2
Nondonkanon,22.339363,91.831906,1
Nalapara,22.330835,91.82893,1
Nimtola,23.589743,90.384006,1
Oxygen ,22.393548,91.821548,1
Pahartali,22.365731,91.77323,4
Panchlaish ,22.360742,91.840658,5
Park view hospital  ,22.363102,91.835722,1
Potenga,22.236635,91.793355,3
Rahattarpul ,22.360177,91.852518,2
Riazuddin bazar,22.336721,91.83041,1
Railwaycolony  ,22.353583,91.805045,1
Shagorika,22.356482,91.778725,10
Shoraypara,22.353471,91.788559,4
Shulokbahar,22.365133,91.839247,1
Shadar ghat,22.324343,91.829328,1
Uttor kattoli,22.37037,91.768101,2
